21952:(s_parts=142, s_parts=7)=22789.91458367673
    22106:(s_parts=143, s_parts=7)=22789.972161615555
    22260:(s_parts=144, s_parts=7)=22792.47134173879
    21798:(s_parts=141, s_parts=7)=22793.305765232762
    22414:(s_parts=145, s_parts=7)=22796.686869291192
    21644:(s_parts=140, s_parts=7)=22801.53364493239
    22568:(s_parts=146, s_parts=7)=22802.100443601
    22722:(s_parts=147, s_parts=7)=22808.344442676065
    22876:(s_parts=148, s_parts=7)=22815.160057538153
    21490:(s_parts=139, s_parts=7)=22816.496137262242
    23030:(s_parts=149, s_parts=7)=22822.36642755143
    23184:(s_parts=150, s_parts=7)=22829.838087464894
    23338:(s_parts=151, s_parts=7)=22837.488631136734
    21336:(s_parts=138, s_parts=7)=22840.768272596164
    23492:(s_parts=152, s_parts=7)=22845.258979475962
    21953:(s_parts=142, s_parts=8)=22845.478316652447
    22107:(s_parts=143, s_parts=8)=22845.535748868777
    22261:(s_parts=144, s_parts=8)=22848.03482691048
    21799:(s_parts=141, s_parts=8)=22848.869704814526
    22415:(s_parts=145, s_parts=8)=22852.250283435715
    23646:(s_parts=153, s_parts=7)=22853.10902581162
    21645:(s_parts=140, s_parts=8)=22857.09787543938
    22569:(s_parts=146, s_parts=8)=22857.66380865735
    23800:(s_parts=154, s_parts=7)=22861.01173566736
    22723:(s_parts=147, s_parts=8)=22863.907774034367
    23954:(s_parts=155, s_parts=7)=22868.949013894704
