RPS,Ion,,Expected downtime (days),,,,,,,,,Ion,RPS,Expected downtime (days),Availability,,,
s_parts=198,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,198,21.04160133,99.86%,,,
s_parts=199,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,199,21.04160133,99.86%,,,
s_parts=200,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,200,21.04160133,99.86%,,,
s_parts=197,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,197,21.04160133,99.86%,,,
s_parts=196,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,196,21.04160133,99.86%,,,
s_parts=194,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,194,21.04160133,99.86%,,,
s_parts=195,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,195,21.04160133,99.86%,,,
s_parts=193,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,193,21.04160133,99.86%,,,
s_parts=192,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,192,21.04160133,99.86%,,,
s_parts=191,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,191,21.04160133,99.86%,,,
s_parts=190,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,190,21.04160133,99.86%,,,
s_parts=189,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,189,21.04160133,99.86%,,,
s_parts=188,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,188,21.04160133,99.86%,,,
s_parts=187,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,187,21.04160133,99.86%,,,
s_parts=186,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,186,21.04160133,99.86%,,,
s_parts=185,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,185,21.04160133,99.86%,,,
s_parts=184,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,184,21.04160133,99.86%,,,
s_parts=183,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,183,21.04160133,99.86%,,,
s_parts=182,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,182,21.04160133,99.86%,,,
s_parts=181,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,181,21.04160133,99.86%,,,
s_parts=180,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,180,21.04160133,99.86%,,,
s_parts=179,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,179,21.04160133,99.86%,,,
s_parts=178,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,178,21.04160133,99.86%,,,
s_parts=177,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,177,21.04160133,99.86%,,,
s_parts=176,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,176,21.04160133,99.86%,,,
s_parts=175,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,175,21.04160133,99.86%,,,
s_parts=174,s_parts=10,21041.60133,21.04160133,,,,,,,,,10,174,21.04160133,99.86%,,,
s_parts=173,s_parts=10,21041.60134,21.04160134,,,,,,,,,10,173,21.04160134,99.86%,,,
s_parts=172,s_parts=10,21041.60135,21.04160135,,,,,,,,,10,172,21.04160135,99.86%,,,
s_parts=171,s_parts=10,21041.60136,21.04160136,,,,,,,,,10,171,21.04160136,99.86%,,,
s_parts=170,s_parts=10,21041.60138,21.04160138,,,,,,,,,10,170,21.04160138,99.86%,,,
s_parts=169,s_parts=10,21041.60142,21.04160142,,,,,,,,,10,169,21.04160142,99.86%,,,
s_parts=168,s_parts=10,21041.6015,21.0416015,,,,,,,,,10,168,21.0416015,99.86%,,,
s_parts=167,s_parts=10,21041.60161,21.04160161,,,,,,,,,10,167,21.04160161,99.86%,,,
s_parts=166,s_parts=10,21041.60181,21.04160181,,,,,,,,,10,166,21.04160181,99.86%,,,
s_parts=165,s_parts=10,21041.60215,21.04160215,,,,,,,,,10,165,21.04160215,99.86%,,,
s_parts=164,s_parts=10,21041.6027,21.0416027,,,,,,,,,10,164,21.0416027,99.86%,,,
s_parts=163,s_parts=10,21041.60361,21.04160361,,,,,,,,,10,163,21.04160361,99.86%,,,
s_parts=162,s_parts=10,21041.6051,21.0416051,,,,,,,,,10,162,21.0416051,99.86%,,,
s_parts=161,s_parts=10,21041.60754,21.04160754,,,,,,,,,10,161,21.04160754,99.86%,,,
s_parts=160,s_parts=10,21041.61148,21.04161148,,,,,,,,,10,160,21.04161148,99.86%,,,
s_parts=159,s_parts=10,21041.61784,21.04161784,,,,,,,,,10,159,21.04161784,99.86%,,,
s_parts=158,s_parts=10,21041.62801,21.04162801,,,,,,,,,10,158,21.04162801,99.86%,,,
s_parts=157,s_parts=10,21041.6442,21.0416442,,,,,,,,,10,157,21.0416442,99.86%,,,
s_parts=156,s_parts=10,21041.66978,21.04166978,,,,,,,,,10,156,21.04166978,99.86%,,,
s_parts=155,s_parts=10,21041.70996,21.04170996,,,,,,,,,10,155,21.04170996,99.86%,,,
s_parts=154,s_parts=10,21041.77268,21.04177268,,,,,,,,,10,154,21.04177268,99.86%,,,
s_parts=198,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,198,21.0418461,99.86%,,,
s_parts=199,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,199,21.0418461,99.86%,,,
s_parts=200,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,200,21.0418461,99.86%,,,
s_parts=197,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,197,21.0418461,99.86%,,,
s_parts=196,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,196,21.0418461,99.86%,,,
s_parts=195,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,195,21.0418461,99.86%,,,
s_parts=194,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,194,21.0418461,99.86%,,,
s_parts=193,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,193,21.0418461,99.86%,,,
s_parts=192,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,192,21.0418461,99.86%,,,
s_parts=191,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,191,21.0418461,99.86%,,,
s_parts=190,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,190,21.0418461,99.86%,,,
s_parts=189,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,189,21.0418461,99.86%,,,
s_parts=188,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,188,21.0418461,99.86%,,,
s_parts=187,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,187,21.0418461,99.86%,,,
s_parts=186,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,186,21.0418461,99.86%,,,
s_parts=185,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,185,21.0418461,99.86%,,,
s_parts=184,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,184,21.0418461,99.86%,,,
s_parts=183,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,183,21.0418461,99.86%,,,
s_parts=182,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,182,21.0418461,99.86%,,,
s_parts=181,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,181,21.0418461,99.86%,,,
s_parts=180,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,180,21.0418461,99.86%,,,
s_parts=179,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,179,21.0418461,99.86%,,,
s_parts=178,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,178,21.0418461,99.86%,,,
s_parts=177,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,177,21.0418461,99.86%,,,
s_parts=176,s_parts=9,21041.8461,21.0418461,,,,,,,,,9,176,21.0418461,99.86%,,,
s_parts=175,s_parts=9,21041.84611,21.04184611,,,,,,,,,9,175,21.04184611,99.86%,,,
s_parts=174,s_parts=9,21041.84611,21.04184611,,,,,,,,,9,174,21.04184611,99.86%,,,
s_parts=173,s_parts=9,21041.84611,21.04184611,,,,,,,,,9,173,21.04184611,99.86%,,,
s_parts=172,s_parts=9,21041.84612,21.04184612,,,,,,,,,9,172,21.04184612,99.86%,,,
s_parts=171,s_parts=9,21041.84613,21.04184613,,,,,,,,,9,171,21.04184613,99.86%,,,
s_parts=170,s_parts=9,21041.84616,21.04184616,,,,,,,,,9,170,21.04184616,99.86%,,,
s_parts=169,s_parts=9,21041.8462,21.0418462,,,,,,,,,9,169,21.0418462,99.86%,,,
s_parts=168,s_parts=9,21041.84627,21.04184627,,,,,,,,,9,168,21.04184627,99.86%,,,
s_parts=167,s_parts=9,21041.84639,21.04184639,,,,,,,,,9,167,21.04184639,99.86%,,,
s_parts=166,s_parts=9,21041.84659,21.04184659,,,,,,,,,9,166,21.04184659,99.86%,,,
s_parts=165,s_parts=9,21041.84692,21.04184692,,,,,,,,,9,165,21.04184692,99.86%,,,
s_parts=164,s_parts=9,21041.84747,21.04184747,,,,,,,,,9,164,21.04184747,99.86%,,,
s_parts=163,s_parts=9,21041.84838,21.04184838,,,,,,,,,9,163,21.04184838,99.86%,,,
s_parts=162,s_parts=9,21041.84988,21.04184988,,,,,,,,,9,162,21.04184988,99.86%,,,
s_parts=161,s_parts=9,21041.85231,21.04185231,,,,,,,,,9,161,21.04185231,99.86%,,,
s_parts=160,s_parts=9,21041.85626,21.04185626,,,,,,,,,9,160,21.04185626,99.86%,,,
s_parts=159,s_parts=9,21041.86262,21.04186262,,,,,,,,,9,159,21.04186262,99.86%,,,
s_parts=153,s_parts=10,21041.86997,21.04186997,,,,,,,,,10,153,21.04186997,99.86%,,,
s_parts=158,s_parts=9,21041.87279,21.04187279,,,,,,,,,9,158,21.04187279,99.86%,,,
s_parts=157,s_parts=9,21041.88897,21.04188897,,,,,,,,,9,157,21.04188897,99.86%,,,
s_parts=156,s_parts=9,21041.91455,21.04191455,,,,,,,,,9,156,21.04191455,99.86%,,,
